Phone_ID,Brand,Model,Release_Year,Usage_Hours,Battery_Health,Charger_Included,Owner,RAM_GB,Battery_Backup_Hrs,Price_USD,City
1,Oneplus,Nord Ce,2019,6550,Average,Yes,1,6.0,12.9,790,Chennai
2,Oneplus,Nord Ce,2018,991,Good,Yes,1,12.0,10.5,280,Pune
3,Xiaomi,Poco X3,2017,15485,Average,Yes,3,6.0,4.3,656,Mumbai
4,Samsung,Galaxy M31,2016,517,Good,No,2,6.0,7.0,169,Hyderabad
5,Oneplus,Nord 2,2017,858,Average,Yes,2,6.0,8.2,484,Delhi
6,Samsung,Galaxy M31,2020,1143,Average,Yes,1,6.0,4.1,704,Bengaluru
7,Oneplus,Nord 2,2019,19595,Good,No,3,12.0,5.5,475,Delhi
8,Xiaomi,Mi 11X,2019,6719,Poor,Yes,3,12.0,8.6,186,Chennai
9,Xiaomi,Mi 11X,2022,8920,Poor,Yes,3,6.0,10.2,710,Bengaluru
10,Apple,Iphone 12,2017,9320,Good,Yes,2,6.0,5.5,541,Pune
11,Vivo,Y20,2016,16058,Poor,Yes,1,4.0,12.0,406,Hyderabad
12,Samsung,Galaxy Note20,2016,4744,Average,No,1,12.0,4.3,591,Chennai
13,Vivo,S1 Pro,2016,2867,Poor,No,2,12.0,11.6,548,Kolkata
14,Realme,Realme 8,2016,10665,Average,,3,12.0,4.1,388,Chennai
15,Apple,Iphone 12,2021,14981,Good,No,1,6.0,8.2,677,Delhi
16,Apple,Iphone 12,2016,2601,Average,Yes,2,6.0,8.2,612,Bengaluru
17,Vivo,S1 Pro,2016,9613,Good,No,3,4.0,8.5,274,
18,Oppo,F19,2018,2038,Good,No,1,6.0,6.8,811,
19,Oneplus,Nord 2,2020,11829,Poor,Yes,2,6.0,14.3,819,Mumbai
20,Oneplus,Oneplus 9,2016,12847,Poor,No,2,6.0,13.5,897,Pune
21,Samsung,Galaxy A52,2022,3378,Poor,No,2,4.0,4.9,531,Mumbai
22,Oppo,F19,2016,7653,Good,Yes,1,6.0,15.0,820,Pune
23,Vivo,S1 Pro,2023,19471,Good,No,3,6.0,13.3,653,Pune
24,Oneplus,Oneplus 9,2018,18349,Poor,No,3,4.0,4.3,125,Mumbai
25,Realme,Realme 8,2018,2659,Average,No,2,12.0,8.8,567,Hyderabad
26,Apple,Iphone 13,2020,4742,Good,Yes,1,,12.0,330,Hyderabad
27,Oneplus,Nord 2,2020,6979,Average,,3,6.0,13.5,626,Chennai
28,Apple,Iphone 12,2021,6435,Average,Yes,1,6.0,5.5,325,Hyderabad
29,Xiaomi,Poco X3,2022,18302,Good,Yes,1,8.0,14.7,198,Pune
30,Oppo,F19,2019,2811,Good,No,1,4.0,13.2,369,Hyderabad
31,Realme,Realme 8,2023,3042,Average,No,3,6.0,4.1,797,Delhi
32,Apple,Iphone 13,2021,13780,Poor,Yes,2,12.0,6.1,678,Kolkata
33,Oppo,F19,2017,5744,Average,No,3,12.0,8.5,819,Kolkata
34,Xiaomi,Redmi 9,2016,12153,Poor,No,3,6.0,10.3,625,Chennai
35,Oneplus,Oneplus 9,2022,19338,,Yes,2,4.0,11.1,91,Bengaluru
36,Xiaomi,Redmi 9,2022,17561,Good,Yes,3,4.0,14.3,475,Delhi
37,Oppo,A74,2016,14576,Average,No,3,8.0,7.0,370,Pune
38,Xiaomi,Redmi Note 10,2019,19695,Good,No,1,12.0,14.9,406,Delhi
39,Oneplus,Nord Ce,2019,1988,Poor,Yes,1,4.0,8.6,200,Hyderabad
40,Xiaomi,Mi 11X,2023,5080,Average,No,2,6.0,12.1,324,Chennai
41,Xiaomi,Redmi 9,2019,9630,Good,Yes,3,4.0,,345,Chennai
42,Samsung,Galaxy S21,2020,2875,Poor,Yes,3,12.0,6.3,431,Delhi
43,Oppo,Reno 5,2023,7484,Poor,Yes,2,8.0,12.3,268,Bengaluru
44,Realme,Realme 8,2021,3072,Average,No,3,4.0,6.3,757,Pune
45,Xiaomi,Poco X3,2021,9770,Good,No,2,8.0,10.3,783,Mumbai
46,Realme,Narzo 30,2019,13593,Poor,Yes,1,8.0,,773,Mumbai
47,Oppo,A54,2021,13287,Poor,Yes,1,8.0,6.4,139,Chennai
48,Xiaomi,Redmi Note 10,2022,2599,Average,Yes,2,4.0,4.9,729,Hyderabad
49,Vivo,S1 Pro,2019,16523,Poor,No,2,8.0,9.4,630,Hyderabad
50,Vivo,V21,2021,626,Good,Yes,3,4.0,8.6,510,Delhi
51,Vivo,Y20,2022,5993,Average,No,2,4.0,12.0,390,Kolkata
52,Apple,Iphone 11,2016,19638,Good,Yes,1,6.0,9.2,600,Delhi
53,Xiaomi,Poco X3,2020,18464,Poor,No,2,8.0,12.5,174,Delhi
54,Oneplus,Nord 2,2018,13114,Poor,Yes,3,4.0,14.0,540,Pune
55,Oneplus,Oneplus 9,2021,5242,Poor,No,3,6.0,6.0,289,Kolkata
56,Apple,Iphone 12,2020,17799,Average,Yes,3,8.0,,272,Pune
57,Samsung,Galaxy Note20,2022,17725,Average,No,1,12.0,4.7,156,Hyderabad
58,Vivo,S1 Pro,2017,15091,,No,1,4.0,4.1,898,Chennai
59,Apple,Iphone Se,2020,11555,Poor,No,1,4.0,14.4,656,Pune
60,Xiaomi,Poco X3,2017,3837,Good,Yes,1,4.0,10.5,172,Hyderabad
61,Apple,Iphone 11,2017,11695,Average,Yes,3,6.0,8.2,419,Chennai
62,Samsung,Galaxy Note20,2021,8529,Poor,No,2,8.0,5.2,466,Bengaluru
63,Oppo,F19,2018,8819,Average,No,3,6.0,6.2,608,Pune
64,Oppo,A54,2016,6984,Good,No,3,4.0,8.0,554,Mumbai
65,Vivo,Y20,2017,18861,Good,No,3,4.0,13.9,326,Bengaluru
66,Oppo,A54,2017,15388,Good,Yes,2,12.0,11.0,861,
67,Apple,Iphone 13,2018,17796,Poor,No,3,6.0,7.7,737,Pune
68,Vivo,Y20,2023,3859,Average,No,2,12.0,13.4,498,Hyderabad
69,Realme,Realme 8,2021,17703,Average,No,1,12.0,10.6,849,Chennai
70,Samsung,Galaxy A52,2023,8441,Average,No,3,6.0,11.2,321,Pune
71,Oppo,F19,2022,18979,Good,No,3,4.0,12.7,206,Chennai
72,Oneplus,Nord 2,2020,1283,Good,No,3,8.0,6.5,393,Bengaluru
73,Xiaomi,Redmi 9,2023,7266,Poor,Yes,2,8.0,4.2,730,Chennai
74,Apple,Iphone 12,2016,3976,Average,No,2,6.0,14.5,877,Hyderabad
75,Apple,Iphone 12,2017,6937,Poor,No,2,4.0,6.5,388,Delhi
76,Vivo,Y20,2017,15662,Average,Yes,3,4.0,7.1,336,Chennai
77,Samsung,Galaxy A52,2019,8557,Poor,Yes,1,4.0,14.1,678,Mumbai
78,Samsung,Galaxy A52,2021,11012,Good,Yes,3,6.0,8.8,764,Kolkata
79,Xiaomi,Mi 11X,2019,19508,Average,Yes,3,6.0,10.7,703,Mumbai
80,Realme,Realme 9,2016,2876,Good,Yes,3,8.0,11.7,716,Kolkata
81,Xiaomi,Poco X3,2018,12914,Good,No,1,12.0,6.4,123,Kolkata
82,Oppo,A54,2023,17594,Good,,2,6.0,10.1,563,Hyderabad
83,Samsung,Galaxy A52,2017,18584,Average,Yes,2,6.0,8.4,745,Pune
84,Xiaomi,Mi 11X,2022,7490,Good,No,1,6.0,8.4,688,Bengaluru
85,Oneplus,Nord Ce,2018,16461,Average,Yes,3,8.0,9.7,839,Mumbai
86,Realme,Realme X7,2021,2375,Average,Yes,3,4.0,,409,Mumbai
87,Samsung,Galaxy Note20,2016,10403,Good,Yes,1,6.0,7.4,514,Pune
88,Apple,Iphone Se,2023,12853,Good,No,2,8.0,7.2,433,Delhi
89,Samsung,Galaxy S21,2023,19044,,No,3,6.0,7.9,205,Kolkata
90,Xiaomi,Mi 11X,2020,3445,Good,Yes,2,8.0,11.7,306,Mumbai
91,Apple,Iphone 13,2021,8358,Poor,No,1,8.0,10.1,796,Mumbai
92,Samsung,Galaxy M31,2022,9412,Average,No,2,8.0,4.4,411,Chennai
93,Xiaomi,Redmi 9,2018,15876,Average,No,1,6.0,10.9,715,Chennai
94,Oneplus,Nord 2,2023,15231,Average,Yes,3,8.0,9.2,101,Delhi
95,Xiaomi,Mi 11X,2019,8185,Poor,Yes,1,4.0,10.2,787,Bengaluru
96,Xiaomi,Redmi 9,2016,10768,Good,Yes,1,6.0,11.6,657,Mumbai
97,Xiaomi,Redmi 9,2023,8266,Average,Yes,3,4.0,13.0,801,Kolkata
98,Oneplus,Nord Ce,2022,16293,Average,No,2,8.0,11.5,267,Kolkata
99,Apple,Iphone 12,2022,4614,Average,Yes,1,8.0,6.0,94,Pune
100,Oppo,A54,2020,14239,Poor,Yes,1,4.0,6.1,445,Kolkata
101,Samsung,Galaxy Note20,2016,18278,Good,No,2,8.0,11.9,497,Chennai
102,Oneplus,Oneplus 9,2018,14991,Good,No,2,6.0,4.2,659,Bengaluru
103,Vivo,S1 Pro,2019,3154,Average,Yes,1,8.0,4.0,424,Kolkata
104,Apple,Iphone 13,2022,12014,Average,Yes,3,8.0,14.3,335,Mumbai
105,Realme,Realme 8,2016,6032,Poor,No,1,8.0,9.1,295,Bengaluru
106,Samsung,Galaxy M31,2023,13583,Poor,Yes,2,12.0,14.0,104,
107,Apple,Iphone 12,2021,17086,Average,No,2,4.0,7.5,176,Delhi
108,Vivo,Y20,2018,18399,Good,Yes,1,8.0,4.2,489,Mumbai
109,Samsung,Galaxy M31,2019,1181,Average,Yes,3,12.0,14.3,591,Pune
110,Apple,Iphone Se,2022,11058,Average,Yes,1,12.0,4.6,711,Mumbai
111,Oppo,A74,2017,4478,Poor,No,3,12.0,8.1,634,Chennai
112,Samsung,Galaxy Note20,2016,19982,Average,No,2,8.0,9.2,644,Kolkata
113,Apple,Iphone 13,2018,5164,Good,No,1,4.0,6.8,437,Chennai
114,Samsung,Galaxy Note20,2020,8316,Poor,No,1,12.0,12.5,642,Hyderabad
115,Oppo,A54,2018,3787,Average,Yes,2,6.0,4.3,778,Mumbai
116,Samsung,Galaxy S21,2019,17940,Poor,No,2,,7.5,724,Pune
117,Realme,Realme X7,2018,4695,Poor,Yes,2,8.0,7.9,280,
118,Samsung,Galaxy A52,2021,10666,Good,No,2,12.0,5.5,206,Bengaluru
119,Realme,Realme 9,2017,9834,Average,Yes,3,6.0,8.3,841,Delhi
120,Oneplus,Nord 2,2021,9717,Poor,No,3,6.0,,463,Kolkata
121,Xiaomi,Poco X3,2021,3844,Poor,Yes,2,4.0,4.2,110,Pune
122,Vivo,V20,2016,5602,Average,No,2,4.0,14.7,888,Kolkata
123,Apple,Iphone 11,2017,15646,Poor,Yes,2,6.0,5.1,893,Delhi
124,Vivo,V20,2023,4421,Good,,2,4.0,8.5,654,Hyderabad
125,Oppo,Reno 5,2017,2719,Good,No,2,6.0,8.6,135,Chennai
126,Oneplus,Oneplus 9,2023,5010,Good,Yes,1,6.0,10.7,809,Mumbai
127,Oppo,Reno 5,2017,12838,Poor,No,1,4.0,7.3,299,Hyderabad
128,Vivo,S1 Pro,2023,7173,Poor,Yes,2,8.0,6.8,456,Kolkata
129,Oneplus,Nord Ce,2022,11440,Good,Yes,1,8.0,6.4,181,Hyderabad
130,Xiaomi,Redmi 9,2019,17535,Average,No,2,4.0,,687,Delhi
131,Xiaomi,Redmi 9,2019,19814,Good,No,1,6.0,7.0,894,Pune
132,Oppo,F19,2020,19250,Good,Yes,2,8.0,5.7,372,Hyderabad
133,Oppo,A74,2017,18590,Average,Yes,3,6.0,4.1,834,Bengaluru
134,Vivo,V21,2017,14934,Good,No,3,4.0,13.9,825,Hyderabad
135,Oppo,F19,2017,4379,Poor,Yes,1,8.0,13.2,206,Bengaluru
136,Oneplus,Nord Ce,2022,12870,Poor,No,2,12.0,9.3,642,Delhi
137,Oppo,F19,2021,5869,Average,No,2,12.0,10.4,572,Mumbai
138,Xiaomi,Redmi Note 10,2019,9061,Average,No,1,8.0,11.9,523,Hyderabad
139,Realme,Realme X7,2023,13172,Good,Yes,3,6.0,11.7,661,Mumbai
140,Xiaomi,Poco X3,2021,10404,Good,Yes,3,8.0,12.4,676,Bengaluru
141,Vivo,V20,2020,9174,Average,,3,8.0,10.2,348,Bengaluru
142,Samsung,Galaxy M31,2018,13268,Poor,Yes,3,6.0,11.3,683,Bengaluru
143,Xiaomi,Redmi Note 10,2021,18277,Average,No,3,8.0,7.8,317,Chennai
144,Samsung,Galaxy S21,2016,3842,Good,No,2,6.0,11.3,149,Mumbai
145,Realme,Realme X7,2017,14812,Good,No,3,6.0,5.1,222,Hyderabad
146,Vivo,S1 Pro,2017,4920,Average,No,1,6.0,14.3,100,Kolkata
147,Realme,Narzo 30,2017,17514,Good,No,2,4.0,5.6,270,Chennai
148,Oppo,Reno 5,2017,7583,Good,No,1,4.0,6.7,128,Chennai
149,Vivo,V20,2021,15406,Average,Yes,1,12.0,14.1,269,Pune
150,Realme,Narzo 30,2020,19288,Good,Yes,2,6.0,12.7,633,Pune
151,Oppo,A54,2016,14077,Good,No,1,12.0,8.6,766,Bengaluru
152,Oppo,A54,2020,18923,Poor,Yes,1,12.0,8.7,242,Delhi
153,Apple,Iphone 13,2021,11703,Good,No,1,6.0,6.6,823,Pune
154,Oneplus,Oneplus 8T,2017,9445,Good,No,3,8.0,10.4,360,Chennai
155,Oppo,A74,2020,3519,Good,,2,6.0,7.6,662,Mumbai
156,Oppo,A74,2023,15738,Good,Yes,2,12.0,7.1,126,Pune
157,Oppo,A54,2016,7700,Average,Yes,2,,5.8,122,Kolkata
158,Realme,Narzo 30,2020,10890,Good,No,2,12.0,14.4,583,Chennai
159,Oppo,A54,2020,6102,Average,No,1,8.0,5.1,783,
160,Oneplus,Nord 2,2022,553,Average,No,1,12.0,4.7,226,Bengaluru
161,Realme,Realme 9,2020,2156,Average,No,1,4.0,10.1,154,Mumbai
162,Apple,Iphone Se,2021,6938,Poor,No,3,6.0,11.8,384,Delhi
163,Samsung,Galaxy Note20,2019,1948,Good,No,2,12.0,11.1,146,Delhi
164,Samsung,Galaxy M31,2022,10678,Poor,No,3,6.0,11.4,526,Kolkata
165,Oneplus,Nord 2,2023,16619,Poor,Yes,1,6.0,10.8,200,Chennai
166,Oneplus,Oneplus 8T,2018,1382,Poor,Yes,2,4.0,7.2,674,Mumbai
167,Oppo,Reno 5,2020,7627,Average,Yes,3,12.0,9.8,375,Chennai
168,Xiaomi,Mi 11X,2022,2792,Average,No,1,6.0,14.1,160,Mumbai
169,Oneplus,Nord Ce,2020,19710,Good,Yes,1,4.0,6.0,359,Chennai
170,Vivo,V20,2016,2399,Average,No,1,4.0,4.0,555,Mumbai
171,Oppo,A54,2023,19281,Good,Yes,3,12.0,11.8,211,Chennai
172,Oneplus,Nord Ce,2017,13312,Poor,Yes,3,8.0,11.0,423,Delhi
173,Oppo,A74,2019,8935,Good,No,1,12.0,8.8,296,Mumbai
174,Oppo,F19,2017,15413,Poor,No,3,12.0,4.8,312,Pune
175,Realme,Realme 9,2020,7905,Good,No,3,4.0,7.8,516,Chennai
176,Oneplus,Oneplus 9,2020,6943,Average,Yes,1,12.0,14.8,809,Pune
177,Xiaomi,Poco X3,2022,18335,Good,No,3,4.0,10.2,620,Bengaluru
178,Apple,Iphone 13,2020,14263,Good,No,2,12.0,14.5,441,Hyderabad
179,Samsung,Galaxy S21,2018,12409,Average,Yes,2,4.0,8.4,494,Bengaluru
180,Vivo,Y20,2016,4357,Poor,Yes,2,,10.4,761,Kolkata
181,Xiaomi,Mi 11X,2021,11038,Good,No,1,8.0,14.9,308,Chennai
182,Realme,Narzo 30,2021,14919,Good,Yes,2,8.0,13.7,311,Hyderabad
183,Apple,Iphone 13,2016,2552,Poor,Yes,1,8.0,9.4,626,Hyderabad
184,Oppo,Reno 5,2018,18644,Poor,No,1,8.0,4.2,335,Delhi
185,Xiaomi,Redmi 9,2016,12435,Poor,Yes,1,4.0,9.6,399,Kolkata
186,Oppo,A74,2019,14038,Average,No,2,6.0,7.3,481,Kolkata
187,Samsung,Galaxy Note20,2019,12541,Poor,No,3,4.0,10.1,674,Kolkata
188,Oppo,A54,2019,18009,Poor,No,1,8.0,4.8,195,
189,Apple,Iphone 13,2017,15168,Average,Yes,3,4.0,13.9,770,Mumbai
190,Vivo,V20,2016,902,Poor,Yes,1,8.0,13.8,615,Pune
191,Apple,Iphone Se,2019,5923,Good,Yes,1,6.0,11.1,409,Kolkata
192,Vivo,Y20,2017,719,Good,No,2,8.0,11.1,505,Hyderabad
193,Apple,Iphone Se,2019,3217,Good,No,2,4.0,11.4,722,Pune
194,Xiaomi,Poco X3,2022,16622,Good,Yes,1,,8.1,417,Chennai
195,Vivo,Y20,2016,16874,Poor,Yes,2,4.0,13.5,114,Mumbai
196,Oneplus,Oneplus 9,2022,5847,Poor,No,1,6.0,13.9,327,Mumbai
197,Apple,Iphone 11,2018,11712,Good,Yes,2,12.0,6.2,735,Hyderabad
198,Apple,Iphone 13,2022,19116,Good,No,2,4.0,7.7,89,Kolkata
199,Realme,Realme 9,2020,4827,Poor,Yes,3,8.0,6.7,883,Pune
200,Vivo,Y20,2021,8748,Good,No,3,8.0,13.2,751,Chennai
201,Apple,Iphone Se,2017,4812,Poor,No,1,12.0,8.9,110,Bengaluru
202,Realme,Realme X7,2020,7010,Poor,Yes,1,,,416,Mumbai
203,Realme,Realme 8,2019,16278,Average,No,2,12.0,12.0,880,Pune
